Text,AuthorID,ID,Timestamp
RT @JaneWinward: Labour have removed these photographs from the internet! https://t.co/FWhNak0HkQ,1059197545,1530988751798910980,2022-05-29T19:05:37.000Z
RT @WestbyNick1: Do NOT retweet these pics!,1059197545,1530988676318212096,2022-05-29T19:05:19.000Z
RT @Taurevanime: So much for that hack saying Putin is trying to kill all the minorities in this war.,1059197545,1530988604964671489,2022-05-29T19:05:02.000Z
@TheeMarkZ @Shakarez EG 0-6 Greater than G2 confirmed ???,1059197545,1530971047142559750,2022-05-29T17:55:16.000Z
@ConceptualJames I'll skull f..K that freaking douche,1059197545,1530969912591716355,2022-05-29T17:50:45.000Z
@EITC_Official you're fired,1059197545,1530969323208167426,2022-05-29T17:48:25.000Z
RT @EITC_Official: This teacher does not want to be required to hang the American Flag in her publicly funded classroom. https://t.co/IKR81…,1059197545,1530969268036243457,2022-05-29T17:48:12.000Z
"RT @EITC_Official: Should we help pack her bags and pay for her flight to China?
@MythinformedMKE @scarlett4kids @Moms4Liberty @GabsClark5…",1059197545,1530969240102109192,2022-05-29T17:48:05.000Z
"RT @45LVNancy: Let me get this straight 🤔

They release convicted FELONS because of prison overcrowding, leave the border open to drug CART…",1059197545,1530968872437833730,2022-05-29T17:46:37.000Z
@HotepJesus Those white suits look real easy to target,1059197545,1530968339325100037,2022-05-29T17:44:30.000Z
RT @HotepJesus: New World Government,1059197545,1530968254927208448,2022-05-29T17:44:10.000Z
RT @RWApodcast: Another woman was killed on Levoberezhnaya st in Leninsky district. Residential areas far from the frontlines are being she…,1059197545,1530968211319140357,2022-05-29T17:44:00.000Z
@redsteeze he's gonna cry isn't he,1059197545,1530967822486188032,2022-05-29T17:42:27.000Z
"@AzaelOfficial nah

we need tradition, and this is one I love

Nostalgia is a thing, and it's good branding",1059197545,1530967452439420928,2022-05-29T17:40:59.000Z
@ianbremmer Kind of ironic how rich people with private security are always the first to cry for gun control for you peasants,1059197545,1530963535848648704,2022-05-29T17:25:25.000Z
"@3YearLetterman Sounds great

As long as your wife doesn't pull an Amber Heard",1059197545,1530963145216466944,2022-05-29T17:23:52.000Z
"@thehill Public schools are garbage

time for homeschool",1059197545,1530962755536265218,2022-05-29T17:22:19.000Z
"RT @MariaBonanno9: This is very disturbing!  North Carolina preschool uses LGBT flashcards depicting a pregnant man to teach kids colors

h…",1059197545,1530961479410892801,2022-05-29T17:17:15.000Z
"@GabsClark5 @wil_da_beast630 Hey girl…

How you doin ?",1059197545,1530961395843534848,2022-05-29T17:16:55.000Z
@TIME He won’t remember it tomorrow,1059197545,1530961122664259585,2022-05-29T17:15:50.000Z
"@mattyglesias A big stick

If worked for Trump too",1059197545,1530960963578515457,2022-05-29T17:15:12.000Z
@Neoavatara @yashar Come again,1059197545,1530960764390998020,2022-05-29T17:14:24.000Z
"RT @yashar: Not just any Scientologist…she has donated tens of millions of dollars to Scientology. 

She is directly funding abuse.",1059197545,1530960712167735301,2022-05-29T17:14:12.000Z
"RT @HiDesertgolf: Let us hope this stays fiction, but you never know about our government and the deep state.  They have started wars in ot…",1059197545,1530960584799289346,2022-05-29T17:13:41.000Z
