Text,AuthorID,Timestamp
@DanRather As our own citizens suffer? We haven’t sent enough? Stop your nonsense.,1302721493974032389,2022-05-15T10:54:17.000Z
@DanRather Wrong Dan! First agreement between Republicans and Democrats is throwing $40B into the hands of the Military Industrial Machine? Figures after they lost the Afghan money! People are such blind sheep.,1517838665346691074,2022-05-15T10:03:17.000Z
@DanRather America First!!!,1035819902,2022-05-15T09:39:58.000Z
"@DanRather It appears Ukraine has anti-tank weapons that will destroy ANY Russian tank.  Great news!

https://t.co/aAyMcKwSph",53641432,2022-05-15T09:16:59.000Z
"@DanRather ""freedom and democracy"" lmao you're as out of touch as ever, Dan

https://t.co/gUkxTKJwdz",1159472567352266752,2022-05-15T08:34:34.000Z
"@DanRather So sending weapons to a country who bans political parties, takes over the news channels, jails political opponents, and bombs their own citizens is fighting for “democracy?” Sounds about right",20209134,2022-05-15T08:23:14.000Z
@DanRather No,957437303663857665,2022-05-15T07:58:06.000Z
"@DanRather The modern theory of Democracy: if you're not with us then you're against us. Pluralism is not available. 
No other options.",4895124749,2022-05-15T07:50:54.000Z
@DanRather Hasn’t Zelensky just officially banned opposition parties? I’m pretty sure that’s not in the democracy handbook.,2293399698,2022-05-15T07:29:15.000Z
"@DanRather 40 billion dollars to Ukraine? They throw our money around like it's nothing to them, because it is nothing to them. What is one billion dollars? It's 200,000 taxpayers sending $5,000 of their hard earned money to the government! $5,000 does not come easy to most of us.",1519524466643984384,2022-05-15T07:19:46.000Z
"@DanRather Every time a 🇷🇺 Occupiers  solder becomes 🇺🇦 fertilizer, an angel gets its wings 🇺🇦🇺🇦🇺🇸🇺🇸🌻🌻@POTUS @DefenceU @ZelenskyyUa #ArmUkraineNow https://t.co/QldBLVtO2I",241410090,2022-05-15T06:50:58.000Z
@DanRather OR !!! MAYBE… HE DOESNT WANT TO PISS AWAY 40 BILLION DOLLARS OF TAXPAYER MONEY!!! YOU MORON!,2897842847,2022-05-15T05:57:53.000Z
"@DanRather Weren't you involved in a scandal of some kind?
I'm afraid you lost whatever juice you had... Cronkite you are not.",1410651287524360192,2022-05-15T05:16:10.000Z
"@DanRather Are you still writing your own stuff, Dan?",1410651287524360192,2022-05-15T05:08:25.000Z
@DanRather you're an idiot inviting disaster at home and abroad.,1330108961140387841,2022-05-15T04:05:56.000Z
"@DanRather YOU SUPPORT A FASCIST COUP REGIME.

Here's your ""democracy,"" Rather, that you know quite well was destroyed in Feb 2014 by rioting fascists. 

Your species provoked this war: imperialists.

https://t.co/lHDiQnvZ2D",773092526584627200,2022-05-15T03:55:36.000Z
@DanRather If it talks like a Mockingbird it is a Mockingbird.,803497890,2022-05-15T03:45:54.000Z
@DanRather What the does Ukraine or Putin have to do with democracy where we actually live!?  Maybe deal with that question before you trying your weak ass guilt trip.,240939819,2022-05-15T03:39:15.000Z
"@DanRather What does Zelensky think of freedom, democracy &amp; the free speech of his opponents?

Just bc Putin is a bas doesn’t make Z or Ukraine ‘good’ or worthy of some ‘thing’ re-defined by the US leftists. Who, btw, are pulling us into nuclear war via this naked attempt at regime change.",1334687390280151040,2022-05-15T03:39:10.000Z
@DanRather Puerto Rico Statehood now,827438743057465348,2022-05-15T03:36:51.000Z
@DanRather Exhibit “R” why bluechecks should have “US government affiliated media” tag in their profile,1323740407415668736,2022-05-15T03:34:53.000Z
@DanRather Dan you hit the nail on Putin's head!                                            BAZ,2218604672,2022-05-15T03:01:26.000Z
@DanRather @oliwymom Thankyou exactly,1388665968629452802,2022-05-15T02:10:35.000Z
"@DanRather Hey Dan, you seem big on freedom and democracy. I never saw a single tweet from you to support Palestine....your fellow journalist Shireen Abu Aqleh was killed by the Israeli military last week FFS! Your crying wolf sh**t is just embarassing!",849040963804725248,2022-05-15T02:10:09.000Z
@DanRather https://t.co/eUHbHNYJgi,26255308,2022-05-15T02:09:37.000Z
"@DanRather Wrong,.again, Danny boy",1025137678008836096,2022-05-15T01:58:07.000Z
"@DanRather Dan, if you don’t think this money should be accounted for you are way dumber than I thought",1393364408659759107,2022-05-15T01:46:20.000Z
"@DanRather As a lifelong Journalist, can you give examples of when members of Congress and a First Lady have traveled to the center of an active War Zone?",1245586886606770179,2022-05-15T01:41:29.000Z
@DanRather Rand Paul should be under investigation by the FBI to see if Russia is funneling him funds,1497276100778643466,2022-05-15T01:31:08.000Z
@DanRather And you're a shill.,1489052892270972939,2022-05-15T01:12:45.000Z
"@DanRather There is another argument: people who believe the USA badly needs these billions for affordable housing, food assistance, veteran care and so many other good causes.",1405250330590277632,2022-05-15T01:10:16.000Z
"@DanRather You could vote against the militaristic aid package to Ukraine not because you ""excuse away"" Putin's criminal aggression against Ukraine, but because you want diplomacy to succeed and the billions used instead to help struggling Americans and Ukrainians.",1461838236758659072,2022-05-15T00:56:19.000Z
@DanRather @Logically_JC Dan the days for anyone to even read what you wrote is truly over!!,1516514544901894155,2022-05-15T00:55:32.000Z
@DanRather https://t.co/MsOnAPMEo9,2191360591,2022-05-15T00:48:27.000Z
@DanRather 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇮🇪🇮🇪🇮🇪🇮🇪🇮🇪🇮🇪🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨,1148565074459500544,2022-05-15T00:48:24.000Z
"@DanRather I’m case you haven’t noticed,we have sent them enough aid,our own people are suffering and need so@e help here",1304953504377733120,2022-05-15T00:46:40.000Z
@DanRather You are out to lunch. 🤦,15309438,2022-05-15T00:13:22.000Z
@DanRather Rather is a manipulative lying POS,2869633875,2022-05-15T00:06:00.000Z
@DanRather It should have been a stand alone bill.  The democrats always pull this stunt,4170926116,2022-05-14T23:59:31.000Z
"@DanRather I remember you getting the Zapruder Film wrong.
What else have you gotten wrong?",1339789088199639040,2022-05-14T23:57:03.000Z
@DanRather So the billions sent by countries in the west are not enough,1518917536829607937,2022-05-14T23:51:18.000Z
"@DanRather ""Some people are more free than the others and some people have more rights than the others."" - U.S.A",1518943329827893248,2022-05-14T23:50:24.000Z
@DanRather So lets send billions more to Ukraine but to hell this country right? You Democrats and Republicans are the same.. https://t.co/1NSypbFmjV,2191360591,2022-05-14T23:48:55.000Z
"@DanRather How things have changed, now the @TheDemocrats are the party for a strong foreign policy and the @GOP are the party of pacifists and bury the head in face of #Putin and his aggression.",1271811029559803907,2022-05-14T23:42:41.000Z
@DanRather https://t.co/fBqoP7cxcF,997882485320110080,2022-05-14T23:38:03.000Z
@DanRather Freedom and democracy is stealing from poor Americans who can't afford Healthcare and giving it to weapons manufacturers to increase profits.,3220422588,2022-05-14T23:37:31.000Z
@DanRather https://t.co/W1ZwpWS4Bj,17569940,2022-05-14T23:37:04.000Z
"@DanRather STFU, you corporate tool.

You spent your entire career promoting wars and economic policies that lead to the deaths of millions.

You don't get not talk about what's good for ""freedom and democracy"", you phony pos.",1523665428706480134,2022-05-14T23:35:02.000Z
@DanRather It's better for everyone that only Ukraine beat Russia.,1275227666,2022-05-14T23:27:44.000Z
